股票代码,股票名称,20日波动率
600482,中国动力,0.3331089738918734
688472,阿特斯,0.459183711105063
600377,宁沪高速,0.11480135562038124
002028,思源电气,0.19180183068559056
600160,巨化股份,0.21396762726283383
300502,新易盛,0.5417823136354937
000630,铜陵有色,0.2652404703674081
000975,山金国际,0.24540982700965505
002422,科伦药业,0.14666328164375
688169,石头科技,0.3405272092752975
300394,天孚通信,0.7311095530097117
600066,宇通客车,0.20024454705283426
601127,赛力斯,0.6708861719447352
688506,百利天恒,1.067210415072771
601136,首创证券,0.45334585661529275
002463,沪电股份,0.3974441554814723
600415,小商品城,0.31811817222318867
300832,新产业,0.3801298746529952
688082,盛美上海,0.2625341775669708
300418,昆仑万维,0.7074513552015343
000807,云铝股份,0.3842051880630168
600161,天坛生物,0.28206851612017286
688009,中国通号,0.18897096157189205
001965,招商公路,0.19687057247201448
603296,华勤技术,0.4149777591789244
300442,润泽科技,0.3470510434830746
600026,中远海能,0.510885958125914
600027,华电国际,0.1579911584355479
600372,中航机载,0.25376648526000095
600489,中金黄金,0.22893223643334998
600023,浙能电力,0.19910442639659326
000999,华润三九,0.2991267676934099
600515,海南机场,0.2023160300193361
301269,华大九天,0.2532333128402309
601059,信达证券,0.5338098791695312
688271,联影医疗,0.29741883855606543
300308,中际旭创,0.6044424097775556
601916,浙商银行,0.12404136401405444
688041,海光信息,0.5114069564922712
688256,寒武纪,0.6108442289061932
301269,华大九天,0.2532333128402309
601699,潞安环能,0.377781196492999
000617,中油资本,0.2145634091517522
000983,山西焦煤,0.2550124532824102
601607,上海医药,0.17652224398691352
600875,东方电气,0.22055070571400084
688223,晶科能源,0.3465017274352585
601872,招商轮船,0.3375879753187829
601689,拓普集团,0.34826421382815353
600674,川投能源,0.12302369550857999
688303,大全能源,0.32222102438976746
600039,四川路桥,0.14650272058779057
688187,时代电气,0.2850467828477322
600233,圆通速递,0.25270379576151397
002180,纳思达,0.3847671086542956
605117,德业股份,0.6533683283663865
600803,新奥股份,0.24732861508073822
601117,中国化学,0.18231227062265068
300979,华利集团,0.32611387926985025
002920,德赛西威,0.37967076069140565
600188,兖矿能源,0.26136282746643646
000408,藏格矿业,0.16636473496960974
001289,龙源电力,0.21546722136493474
600219,南山铝业,0.19278073786545954
002648,卫星化学,0.30523257407465143
002074,国轩高科,0.38424175959782897
000792,盐湖股份,0.2683144776193907
300661,圣邦股份,0.38139670624736743
600941,中国移动,0.20347680304888605
600460,士兰微,0.20740389383910438
600089,特变电工,0.22306117897108274
688981,中芯国际,0.2313005139762556
002466,天齐锂业,0.48531809222283623
601898,中煤能源,0.2485692058829456
002709,天赐材料,0.47538132516632575
605499,东鹏饮料,0.20500715585564902
601865,福莱特,0.42788445592977387
300896,爱美客,0.5670230692094502
002459,晶澳科技,0.46069240244096643
601868,中国能建,0.0988591799100082
600905,三峡能源,0.16252467690130057
300782,卓胜微,0.24715404978511618
601728,中国电信,0.19158511754229404
300316,晶盛机电,0.5003638893718634
300759,康龙化成,0.5103275822454014
300760,迈瑞医疗,0.23191033798646934
601868,中国能建,0.0988591799100082
002459,晶澳科技,0.46069240244096643
300750,宁德时代,0.3968760229847709
002709,天赐材料,0.47538132516632575
605499,东鹏饮料,0.20500715585564902
688396,华润微,0.24089249934896434
688126,沪硅产业,0.24586077578394563
688111,金山办公,0.36545169808883177
603806,福斯特,0.46572570005823744
603659,璞泰来,0.3475651326481901
601995,中金公司,0.22336445611328376
601799,星宇股份,0.31720611780278957
600426,华鲁恒升,0.22141072678827478
300450,先导智能,0.3520470094675971
300274,阳光电源,0.456723061747943
000800,一汽解放,0.21740771591227134
600600,青岛啤酒,0.30682396329416173
688012,中微公司,0.3447699099275299
603195,公牛集团,0.2143524123985089
002049,紫光国微,0.2929901535168493
600150,中国船舶,0.23734508421535025
603392,万泰生物,0.8127472785518857
688036,传音控股,0.3417641890151955
600584,长电科技,0.27355930600438727
600845,宝信软件,0.2769505341328423
002812,恩捷股份,0.37673754121070435
600918,中泰证券,0.18397243859882806
688008,澜起科技,0.35730084053068206
000977,浪潮信息,0.44877472370222704
601816,京沪高铁,0.16773099970567928
600745,闻泰科技,0.3746435114699248
601100,恒立液压,0.33350550832436515
000708,中信特钢,0.21367476270459504
003816,中国广核,0.14210880748996121
002129,中环股份,0.38368482097882156
002371,北方华创,0.36991443313115857
003816,中国广核,0.14210880748996121
300014,亿纬锂能,0.4246065389002805
300628,亿联网络,0.27156435781538396
601658,邮储银行,0.14280811557076267
002916,深南电路,0.244464594788304
300347,泰格医药,0.41739466733831543
600183,生益科技,0.3837554491314775
600989,宝丰能源,0.23959343263306918
601236,红塔证券,0.17016177259379872
601698,中国卫通,0.3903296710302159
603501,韦尔股份,0.2569542871897936
000596,古井贡酒,0.2932012897314718
002938,鹏鼎控股,0.30317305296635966
300413,芒果超媒,0.4677817555908115
300498,温氏股份,0.2604228999930295
601319,中国人保,0.14703842749798493
603019,中科曙光,0.4122707102241185
603986,兆易创新,0.2924530334009483
002179,中航光电,0.4342314685448141
000661,长春高新,0.24208077839547482
002001,新和成,0.13069121272558062
601138,工业富联,0.5334125615081421
002311,海大集团,0.224636727492152
600760,中航沈飞,0.3118124803561701
601066,中信建投,0.19254720240480566
002271,东方雨虹,0.35116959695919847
603259,药明康德,0.3511309636163294
300408,三环集团,0.22360606663522836
000786,北新建材,0.3100093457620194
601808,中海油服,0.16150878037163305
600176,中国巨石,0.22593304986364648
600438,通威股份,0.4002919343759384
600809,山西汾酒,0.34887551598114525
601360,三六零,0.569497821159631
600025,华能水电,0.18798286428222438
600346,恒力股份,0.1682050202860423
603288,海天味业,0.2909197704689759
601238,广汽集团,0.18458128642507962
600346,恒力股份,0.1682050202860423
603288,海天味业,0.2909197704689759
601238,广汽集团,0.18458128642507962
601838,成都银行,0.17491680551274202
601012,隆基股份,0.4427680989660664
002601,龙蟒佰利,0.27523973628006254
603799,华友钴业,0.38277612080937284
600011,华能国际,0.238484837754262
603833,欧派家居,0.3519484481239978
002460,赣锋锂业,0.4319591344747423
601878,浙商证券,0.4054753107877862
300122,智飞生物,0.4281564664604568
300015,爱尔眼科,0.32809576214404823
002352,顺丰控股,0.2053635620398479
002555,三七互娱,0.6147768421117789
600436,片仔癀,0.243884006003742
600919,江苏银行,0.1558905915248776
600926,杭州银行,0.18879538862984616
601229,上海银行,0.11110126486388223
601881,中国银河,0.2523659921773637
002714,牧原股份,0.2769835668060626
300033,同花顺,0.4633138973546895
601877,正泰电器,0.22873800014298634
000938,紫光股份,0.43127739671229803
002027,分众传媒,0.3262034633038532
600061,国投安信,0.16984960370989508
001979,招商蛇口,0.36012925704876514
601211,国泰君安,0.12830225650787305
601985,中国核电,0.17590422255245203
002736,国信证券,0.16666589720217195
300059,东方财富,0.22103659522353158
600958,东方证券,0.22747228357696753
601021,春秋航空,0.16247053671415077
601788,光大证券,0.19488325035624424
601919,中国远洋,0.3208946882356478
000166,申万宏源,0.1782330803631133
600570,恒生电子,0.3476950741401235
300124,汇川技术,0.33673593268320934
601225,陕西煤业,0.18814662997983927
002252,上海莱士,0.19051313261001285
002475,立讯精密,0.2543497824233761
600018,上港集团,0.14177373108954844
002230,科大讯飞,0.3577250356121211
000333,美的集团,0.18077718178629532
000963,华东医药,0.21261962434781922
600332,广州药业,0.12658487206514896
603993,洛阳钼业,0.3098425251795935
002236,大华股份,0.33766601960942116
600886,国投电力,0.22042751674835112
601800,中国交建,0.18739527787700067
000725,京东方A,0.21446688855738308
002241,歌尔声学,0.4584592733706883
601336,新华保险,0.3019894198200719
601633,长城汽车,0.21531521636314638
601669,中国水电,0.2135173350941081
601901,方正证券,0.48454782329917984
002594,比亚迪,0.24521696760294173
601377,兴业证券,0.16721581359494272
000776,广发证券,0.11865357663925233
002415,海康威视,0.288406854754756
600115,东方航空,0.18231009020328734
600276,恒瑞医药,0.21305351732388755
600406,国电南瑞,0.1905474223809863
600887,伊利股份,0.19208491853547865
600893,航空动力,0.32295081957223026
601818,光大银行,0.13300571031167305
601288,农业银行,0.17101516072123255
002304,洋河股份,0.29184351390815594
600999,招商证券,0.15782099130285515
601688,华泰证券,0.18527692044844993
601888,中国国旅,0.4325320137920772
601989,中国重工,0.21556770506086992
002007,华兰生物,0.19822569581822166
601618,中国中冶,0.16176734973626272
601668,中国建筑,0.1597336586119172
601766,中国南车,0.137172605347106
000100,TCL集团,0.27909322206127957
600588,用友软件,0.35432790591263386
601186,中国铁建,0.13933015263346143
601899,紫金矿业,0.24296320426494147
601390,中国中铁,0.17702547240806193
601601,中国太保,0.28168258975963634
601939,建设银行,0.12982211262574278
000338,潍柴动力,0.15179551799381472
000895,双汇发展,0.13383476914794076
002142,宁波银行,0.2964522113668014
600111,包钢稀土,0.2830476153415177
601009,南京银行,0.13214540723769602
601169,北京银行,0.13990132752617224
601857,中国石油,0.22041662808102
601088,中国神华,0.1966463949340448
600837,海通证券,0.15580706698989524
000876,新希望,0.2561142457291175
601328,交通银行,0.13021266445483592
601998,中信银行,0.15478892439529296
601600,中国铝业,0.26790530506449445
601318,中国平安,0.19965943313408302
601166,兴业银行,0.3996841264206434
601628,中国人寿,0.2567084667037783
600547,山东黄金,0.30959894905258784
601111,中国国航,0.23235216546868878
600048,保利地产,0.43238291196769685
601398,工商银行,0.11471600838535606
601006,大秦铁路,0.08619950587433886
601988,中国银行,0.16759628473767085
000768,西飞国际,0.3565655968088718
000538,云南白药,0.22925995613859165
600690,青岛海尔,0.20401211141742123
600660,福耀玻璃,0.19109016901607045
600585,海螺水泥,0.1743600471356279
600519,贵州茅台,0.21849928934548135
600050,中国联通,0.221378558043919
000858,五粮液,0.2901694777627208
000625,长安汽车,0.31848054299196127
000651,格力电器,0.3302353949236724
000568,泸州老窖,0.3931130505953378
000425,徐工科技,0.24842216804994435
000157,中联重科,0.16299141025163516
000063,中兴通讯,0.38924007031451074
000001,深发展A,0.22963056872503682
600009,上海机场,0.27627343604900134
600010,包钢股份,0.2690576821164537
600015,华夏银行,0.19387787202167203
600016,民生银行,0.12521494916806475
600019,宝钢股份,0.14321053073420065
600028,中国石化,0.22197731591182268
600029,南方航空,0.17804422627880204
600030,中信证券,0.18150320823688101
600031,三一重工,0.2190446709312445
600036,招商银行,0.22438435773796872
600050,中国联通,0.221378558043919
000858,五粮液,0.2901694777627208
000625,长安汽车,0.31848054299196127
000651,格力电器,0.3302353949236724
000568,泸州老窖,0.3931130505953378
000425,徐工科技,0.24842216804994435
000157,中联重科,0.16299141025163516
000063,中兴通讯,0.38924007031451074
000001,深发展A,0.22963056872503682
000002,万科A,0.2937389760150259
